    Finished `release` profile [optimized] target(s) in 0.02s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 28800 Sekunden (8.00 h)
VmRSS Start: 2120 kB

[11220.0s]     58769125 Runden |    5253/s (Ø    5238/s) | Fehler 0 | Tamper 0/14348 | RSS 2120 kB
[11280.0s]     59083800 Runden |    5245/s (Ø    5238/s) | Fehler 0 | Tamper 0/14425 | RSS 2120 kB
[11340.0s]     59400298 Runden |    5275/s (Ø    5238/s) | Fehler 0 | Tamper 0/14503 | RSS 2120 kB
[11400.0s]     59717110 Runden |    5280/s (Ø    5238/s) | Fehler 0 | Tamper 0/14580 | RSS 2120 kB
[11460.0s]     60030956 Runden |    5231/s (Ø    5238/s) | Fehler 0 | Tamper 0/14656 | RSS 2120 kB
[11520.1s]     60340624 Runden |    5161/s (Ø    5238/s) | Fehler 0 | Tamper 0/14732 | RSS 2120 kB
[11580.1s]     60648158 Runden |    5126/s (Ø    5237/s) | Fehler 0 | Tamper 0/14807 | RSS 2120 kB
[11640.1s]     60966575 Runden |    5307/s (Ø    5238/s) | Fehler 0 | Tamper 0/14885 | RSS 2120 kB
[11700.1s]     61283392 Runden |    5280/s (Ø    5238/s) | Fehler 0 | Tamper 0/14962 | RSS 2120 kB
[11760.1s]     61596795 Runden |    5223/s (Ø    5238/s) | Fehler 0 | Tamper 0/15039 | RSS 2120 kB
[11820.1s]     61913437 Runden |    5277/s (Ø    5238/s) | Fehler 0 | Tamper 0/15116 | RSS 2120 kB
[11880.1s]     62225350 Runden |    5199/s (Ø    5238/s) | Fehler 0 | Tamper 0/15192 | RSS 2120 kB
[11940.1s]     62542628 Runden |    5288/s (Ø    5238/s) | Fehler 0 | Tamper 0/15270 | RSS 2120 kB
[12000.1s]     62860410 Runden |    5296/s (Ø    5238/s) | Fehler 0 | Tamper 0/15347 | RSS 2120 kB
[12060.1s]     63172023 Runden |    5194/s (Ø    5238/s) | Fehler 0 | Tamper 0/15423 | RSS 2120 kB
[12120.1s]     63486087 Runden |    5234/s (Ø    5238/s) | Fehler 0 | Tamper 0/15500 | RSS 2120 kB
[12180.1s]     63789837 Runden |    5062/s (Ø    5237/s) | Fehler 0 | Tamper 0/15574 | RSS 2120 kB
[12240.1s]     64106186 Runden |    5272/s (Ø    5237/s) | Fehler 0 | Tamper 0/15651 | RSS 2120 kB
[12300.1s]     64423320 Runden |    5286/s (Ø    5238/s) | Fehler 0 | Tamper 0/15729 | RSS 2120 kB
[12360.1s]     64740320 Runden |    5283/s (Ø    5238/s) | Fehler 0 | Tamper 0/15806 | RSS 2120 kB
[12420.1s]     65052330 Runden |    5200/s (Ø    5238/s) | Fehler 0 | Tamper 0/15882 | RSS 2120 kB
[12480.1s]     65356970 Runden |    5077/s (Ø    5237/s) | Fehler 0 | Tamper 0/15957 | RSS 2120 kB
[12540.1s]     65671510 Runden |    5242/s (Ø    5237/s) | Fehler 0 | Tamper 0/16034 | RSS 2120 kB
[12600.1s]     65984918 Runden |    5223/s (Ø    5237/s) | Fehler 0 | Tamper 0/16110 | RSS 2120 kB
[12660.1s]     66302176 Runden |    5288/s (Ø    5237/s) | Fehler 0 | Tamper 0/16188 | RSS 2120 kB
[12720.1s]     66619307 Runden |    5286/s (Ø    5237/s) | Fehler 0 | Tamper 0/16265 | RSS 2120 kB
[12780.1s]     66928881 Runden |    5160/s (Ø    5237/s) | Fehler 0 | Tamper 0/16341 | RSS 2120 kB
[12840.1s]     67244490 Runden |    5260/s (Ø    5237/s) | Fehler 0 | Tamper 0/16418 | RSS 2120 kB
[12900.1s]     67561804 Runden |    5289/s (Ø    5237/s) | Fehler 0 | Tamper 0/16495 | RSS 2120 kB
[12960.1s]     67875661 Runden |    5231/s (Ø    5237/s) | Fehler 0 | Tamper 0/16572 | RSS 2120 kB
